"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Bakis\back-end\routes\courts.js", "JavaScript", 93, 0, 1, 94
"c:\Bakis\back-end\routes\groups.js", "JavaScript", 158, 0, 4, 162
"c:\Bakis\back-end\routes\users.js", "JavaScript", 129, 0, 1, 130
"Total", "-", 380, 0, 6, 386
